[0mCHECKING: 0[0m
Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [0    ] The Void                                     (3001)
   2) [1    ] Limbo                                        
 163) [12362] The Tanner's Guild                           
 164) [12363] Hall                                         
 165) [12364] Shrine of Allah                              
 166) [12365] Outside the Northern Gate of New Thalos      
 167) [12366] Outside the Eastern Gate of New Thalos       
 168) [12367] Outside the West Gate of New Thalos          
 169) [12368] Outside the wall                             
 170) [12369] Grand Dining Hall                            
 171) [12370] Hall                                         
 172) [12371] Hall                                         
 173) [12372] Hall                                         
 174) [12373] Entrance to the Dungeon                      
 175) [12374] Guest Room                                   
 176) [12375] Hall                                         
 177) [12376] Garden                                       
 178) [12377] Hall                                         
 179) [12378] Art Exhibit                                  
 180) [12379] Guest Room                                   
 181) [12380] Hall                                         
 182) [12381] Garden Gazebo                                
 183) [12382] Hall                                         
 184) [12383] Guard Room                                   
 185) [12384] Guard Room                                   
 186) [12385] Harem                                        
 187) [12386] Small room                                   
 188) [12387] Throne Room                                  
 189) [12388] Treasure Room                                
 190) [12389] Jailor's Room                                
 191) [12390] Tunnel in the Dungeon                        
 192) [12391] Tunnel in the Dungeon                        
 193) [12392] Tunnel in the Dungeon                        
 194) [12393] Tunnel in the Dungeon                        
 195) [12394] Tunnel in the Dungeon                        
 196) [12395] Dungeon Cell                                 
 197) [12396] Dungeon Cell                                 
 198) [12397] Dungeon Cell                                 
 199) [12398] Dungeon Cell                                 
 200) [12399] Ahmad's Cell                                 
 201) [12400] Dungeon Cell                                 
 202) [12401] Dungeon Cell                                 
 203) [12402] Dungeon Cell                                 
 204) [12403] Hall                                         
 205) [12404] Path through the mountains                   (4201)
 206) [12405] Path through the mountains                   
 207) [12406] Edge of the ravine                           
 208) [12407] On a rope bridge                             
 209) [12408] Ledge around the valley                      
 210) [12409] Path through the mountains                   
 211) [12410] On the eastern edge of the mountains         (24001)
 212) [12411] In the foothills                             
 213) [12412] In the foothills                             (10279)
 214) [12413] A rocky trail                                (10100)
 215) [12414] On a road                                    
 216) [12415] On a road                                    
 217) [12416] On a road                                    
 218) [12417] Headwaters of the River of Lost Souls        
 219) [12418] Ishtar River                                 
 220) [12419] Ishtar River                                 
 221) [12420] Ishtar River                                 
 222) [12421] Ishtar River                                 
 223) [12422] Ishtar River                                 
 224) [12423] Ishtar River                                 
 225) [12424] Ishtar River                                 
 226) [12425] Edge of the ravine                           
 227) [12426] Path through the mountains                   (5862)
 228) [12427] Path through the mountains                   
 229) [12428] On a road                                    
 230) [12429] On a road                                    
 231) [12430] On a road                                    
 232) [12431] On a road                                    
 233) [12432] The River of Lost Souls                      
 234) [12433] The River of Lost Souls                      
 235) [12434] The River of Lost Souls                      (1501)
 236) [12435] The River of Lost Souls                      
 237) [12436] The River of Lost Souls                      
 238) [12437] A Split in the River                         
 239) [12438] The River of Lost Souls                      
 240) [12439] The River of Lost Souls                      
 241) [12440] The River of Lost Souls                      
 242) [12441] The River of Lost Souls                      (7518)
 243) [12442] Ishtar River                                 
 244) [12443] Ishtar River                                 
 245) [12444] Ishtar River                                 
 246) [12445] Ishtar River                                 
 247) [12446] Ishtar River                                 
 248) [12447] Ishtar River                                 
 249) [12448] Igor's Secret Chamber                        
 250) [12449] In the mountains                             
 251) [12450] In the mountains                             
 252) [12451] In the mountains                             
 253) [12452] In the mountains                             
 254) [12453] In the mountains                             
 255) [12454] In the mountains                             
 256) [12455] In the mountains                             
 257) [12456] In the mountains                             
 258) [12457] In the mountains                             
 259) [12458] Headwaters of the Dark River                 
 260) [12459] On the Dark River                            
 261) [12460] On the Dark River                            
 262) [12461] On the Dark River                            
 263) [12462] On the Dark River                            
 264) [12463] On the Dark River                            
 265) [12464] On the Dark River                            
 266) [12465] On the Dark River                            
 267) [12466] On the Dark River                            
 268) [12467] On the Dark River                            
 269) [12468] On the Dark River                            
 270) [12469] On the Dark River                            (3205)
 271) [12470] On the Dark River                            (3200)
 272) [12471] On the Dark River                            
 273) [12472] On the Dark River                            
 274) [12473] On the Dark River                            (6145)
 275) [12474] On a rope bridge                             
 276) [12475] On a rope bridge                             
 277) [12477] CRUSHED                                      
 278) [12478] Path through the mountains                   
 279) [12479] On the Plains                                
 280) [12480] On the Plains                                
 281) [12481] Edge of the forest                           (8300)
 282) [12482] Ishtar River                                 
 283) [12483] The river delta                              
 284) [12484] The Dragon Sea                               
 285) [12485] The Dragon Sea                               
 286) [12486] The Dragon Sea                               
 287) [12487] The Dragon Sea                               
 288) [12488] On a road                                    
 289) [12489] On a road                                    (3600)
 290) [12490] On a road                                    
 291) [12491] On a road                                    
 292) [12492] Near the shore                               
 293) [12493] On a dock                                    
 294) [12494] The Dragon Sea                               
 295) [12495] The Dragon Sea                               (6700)
 296) [12496] Under the dock                               
 297) [12497] Lair of the Ixitxachitl                      
 298) [12498] New Thalos Metro Station                     [TRIG] 
 299) [12499] Flute's Haven                                
 300) [12500] Flutes Unlimited, Music Store Inc.           (4700)
 301) [12501] Newbie Meeting Room                          [TRIG] 
 302) [12502] The Dragon Sea                               (6961)
 303) [12503] The Dragon Sea                               (6947)
 304) [12504] The Dragon Sea                               (6985)
 305) [12505] The Dragon Sea                               (6973)
 306) [12506] Under the dock                               
 307) [12507] Under the dock                               
 308) [12508] Entrance to the Ninja's Secret Circle        
 309) [12509] Hall of Ninja History                        
 310) [12510] Arena of Ninja Combat                        
 311) [12511] Entrance to the Sohei Guild                  
 312) [12512] Sohei Social Center                          [TRIG] 
 313) [12513] Center for Sohei Skills                      
 314) [12514] Entrance to the Jedi Training Center         
 315) [12515] Jedi Bar and Grill                           [TRIG] 
 316) [12516] Jedi Proving Grounds                         
 317) [12517] Entrance to the Anti-Paladin Guild           
 318) [12518] The Anti-Paladin Bar                         
 319) [12519] The Anti-Paladin Realm of Evil               
 320) [12520] Entrance to the Paladin Guild                
 321) [12521] Hall of Justice                              
 322) [12522] Among the Virtuous                           
 323) [12523] Entrance to the Ranger's Forest              
 324) [12524] In the Ranger's Grove                        
 325) [12525] The Grove of Knowledge                       
 326) [12526] Cryogenics Receiving Area                    
 327) [12527] The Perrywinkle Bridge over the Ishtar River 
 328) [12528] Perrywinkle Road                             [TRIG] 
 329) [12529] Perrywinkle Road                             
 330) [12530] Perrywinkle Road                             
 331) [12531] Perrywinkle Road                             
 332) [12532] Perrywinkle Road                             
 333) [12533] Perrywinkle Road                             
 334) [12534] Perrywinkle Road                             
 335) [12535] Perrywinkle Road                             
 336) [12536] Perrywinkle Road                             
 337) [12537] Perrywinkle Road                             
 338) [12538] Perrywinkle Court                            
 339) [12539] Dungeon Cell                                 
 340) [12540] Dungeon Cell                                 
 341) [12541] Dungeon Cell                                 
 342) [12542] Dungeon Cell                                 
 343) [12543] Dungeon Cell                                 
 344) [12544] Chamber of Death                             
 345) [12545] The Collecting Vat                           
 346) [12546] The Temple of the Goddess of Roses           (12117)
 347) [12550] Harco's Hut (110 Perrywinkle Rd)             
 348) [12551] 109 Perrywinkle Road                         
 349) [12552] Gm's House (108 Perrywinkle Rd)              
 350) [12553] Shadowen's House (107 Perrywinkle Rd)        
 351) [12554] 106 Perrywinkle Road                         
 352) [12555] 105 Perrywinkle Road                         
 353) [12556] 104 Perrywinkle Road                         
 354) [12557] 103 Perrywinkle Road                         
 355) [12558] 102 Perrywinkle Road                         
 356) [12559] 101 Perrywinkle Road                         
 357) [12560] 100 Perrywinkle Road                         
 358) [12561] 99 Perrywinkle Road                          
 359) [12562] 98 Perrywinkle Road                          
 360) [12563] 97 Perrywinkle Road                          
 361) [12564] 96 Perrywinkle Road                          
 362) [12565] 95 Perrywinkle Road                          
 363) [12566] 94 Perrywinkle Road                          
 364) [12567] 93 Perrywinkle Road                          
 365) [12568] 92 Perrywinkle Road                          
 366) [12569] 91 Perrywinkle Road                          
 367) [12570] 1000 Perrywinkle Court                       
 368) [12571] 1200 Perrywinkle Court                       
 369) [12572] New Thalos City Dump                         
 370) [12573] New Thalos Pets 'n Mounts                    
 371) [12574] The Hiding Place                             
 372) [12575] Bluto's Boat Rental                          
 373) [12576] In the shadow of the city wall               
 374) [12577] The Refuse Heap                              
 375) [12578] A path through the plains                    
 376) [12579] A path through the plains                    
 377) [12580] A path through the plains                    
 378) [12581] In the rolling plains                        
 379) [12582] In the rolling plains                        
 380) [12583] A path through the plains                    
 381) [12585] A secret room in the thieves' guild          (3059)
 382) [12586] Nichole's room                               
 383) [12587] The Board Complex of New Thalos              
 384) [12588] The Reading Room                             
 385) [12589] The New Thalos Social Center                 
 386) [12590] The New Thalos Questing Council              
 387) [12591] The New Thalos Immigration Office            
 388) [12592] Chamber of Commerce                          
 389) [12593] On A Cobblestone Path                        
 390) [12594] On A Cobblestone Path                        
 391) [12595] On A Cobblestone Path                        
 392) [12596] On A Cobblestone Path                        
 393) [12597] On A Cobblestone Path                        
 394) [12598] On A Cobblestone Path                        
 395) [12599] On A Cobblestone Path                        (10658)


[0mCHECKING: 126[0m
Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [12600] Welcome to the Corsairs' Citadel             
   2) [12601] The end of the seawall                       
   3) [12602] The entrance to the corsair's cove           (6984)
   4) [12603] The seaward guard station                    
   5) [12604] On the seawall                               
   6) [12605] On the still waters of the cove              
   7) [12606] On the still waters of the cove              
   8) [12607] On the still waters of the cove              
   9) [12608] On the still waters of the cove              
  10) [12609] On the seawall                               
  11) [12610] On the still waters of the cove              
  12) [12611] On the still waters of the cove              
  13) [12612] On the still waters of the cove              
  14) [12613] On the still waters of the cove              
  15) [12614] On the still waters of the cove              
  16) [12615] On the seawall                               
  17) [12616] In the water next to the quay                
  18) [12617] At the end of a small pier                   
  19) [12618] In the water by the quay                     
  20) [12619] At the end of a small dock                   
  21) [12620] In the water by the quay                     
  22) [12621] In the northeast tower                       
  23) [12622] In the barracks                              
  24) [12623] In the northwest tower                       
  25) [12624] In the barracks                              
  26) [12625] The quay                                     
  27) [12626] The quay                                     
  28) [12627] The quay                                     
  29) [12628] The quay                                     
  30) [12629] In the northwest tower                       
  31) [12630] In the northwest tower                       
  32) [12631] In a large warehouse                         
  33) [12632] The Scarlet Barnacle                         [TRIG] 
  34) [12633] Bounty Street                                
  35) [12634] A new warehouse                              
  36) [12635] The back room                                
  37) [12636] A small courtyard                            
  38) [12637] Bounty Street                                
  39) [12638] Dragonship Rigging and Supplies              
  40) [12639] Bounty Street                                
  41) [12640] The southwest tower                          
  42) [12641] The landward postern                         
  43) [12642] The southeast tower                          
  44) [12643] On top of the northeast tower                
  45) [12644] On top of the northeast tower                
  46) [12645] On top of the northeast tower                
  47) [12646] On top of the northeast tower                
  48) [12647] On top of the northwest tower                
  49) [12648] On top of the northwest tower                
  50) [12649] On top of the northwest tower                
  51) [12650] On top of the northwest tower                
  52) [12651] On top of the southwest tower                
  53) [12652] On top of the southwest tower                
  54) [12653] On top of the southwest tower                
  55) [12654] On top of the southwest tower                
  56) [12655] On top of the southeast tower                
  57) [12656] On top of the southeast tower                
  58) [12657] On top of the southeast tower                
  59) [12658] On top of the southeast tower                
  60) [12659] The hidden grotto                            (6900)
  61) [12660] In the bolthole                              
  62) [12661] In the bolthole                              
  63) [12662] In the bolthole                              
  64) [12663] The entrance to a hidden bolthole            
  65) [12664] Under the northwest tower                    
  66) [12665] In a tunnel                                  
  67) [12666] A tunnel intersection                        
  68) [12667] The guardpost in the tunnel                  
  69) [12668] The tunnel intersection                      
  70) [12669] Under the northeast tower                    
  71) [12670] In a tunnel                                  
  72) [12671] Under the mage's tower                       
  73) [12672] In a tunnel                                  
  74) [12673] In a tunnel                                  
  75) [12674] Under the southwest tower                    
  76) [12675] In a tunnel                                  
  77) [12676] Under the southeast tower                    
  78) [12677] In a tunnel                                  
  79) [12678] In a tunnel                                  
  80) [12679] In a tunnel                                  
  81) [12680] Under the seaward tower                      
  82) [12681] In the dormitory of the Scarlet Barnacle     
  83) [12682] In the dormitory of the Scarlet Barnacle     
  84) [12683] On the curtain wall                          
  85) [12684] On the curtain wall                          
  86) [12685] On the curtain wall                          
  87) [12686] On the curtain wall                          
  88) [12687] The magical tunnel                           
  89) [12688] The magical tunnel                           
  90) [12689] The magical tunnel                           
  91) [12690] The base of the staircase                    
  92) [12691] Under the gatehouse                          
  93) [12692] Under the murder holes                       
  94) [12693] Before the inner portcullis                  
  95) [12694] The guard station                            
  96) [12695] Inside the mage's tower                      
  97) [12696] The spiral staircase                         
  98) [12697] The spiral staircase                         
  99) [12698] The mess hall                                
 100) [12699] The kitchens                                 
 101) [12700] The storeroom                                
 102) [12701] A hallway in the tower                       
 103) [12702] In the gatehouse                             
 104) [12703] In a hallway in the tower                    
 105) [12704] In a storage room                            
 106) [12705] At the base of a staircase                   
 107) [12706] At the top of a staircase                    
 108) [12707] In a hallway in the tower                    
 109) [12708] In the elementalist's chambers               
 110) [12709] In the apprentices' sleeping chamber         
 111) [12710] The end of the hall at the base of some stairs 
 112) [12711] The apprentices' sleeping chamber            
 113) [12712] In a short hallway                           
 114) [12713] In a short hallway                           
 115) [12714] In the elementalist's workroom               
 116) [12715] In the stormfinder's chamber                 
 117) [12716] On a large, spiral staircase                 
 118) [12717] The stormfinder's laboratory                 
 119) [12718] The waiting room                             
 120) [12719] The major focus room                         
 121) [12720] The Tempest master's private chamber         
 122) [12721] The steep spiral staircase                   
 123) [12722] The steep spiral staircase                   
 124) [12723] The steep spiral staircase                   
 125) [12724] In a hallway                                 
 126) [12725] The top of a staircase                       
 127) [12726] The armory                                   
 128) [12727] In a hallway                                 
 129) [12728] The guest room                               
 130) [12729] The guest room                               
 131) [12730] The hallway                                  
 132) [12731] The guest room                               
 133) [12732] The guest room                               
 134) [12733] The end of a hallway                         
 135) [12734] The guest room                               
 136) [12735] The Sea Wolf's room                          
 137) [12736] The stairs into the dungeon                  
 138) [12737] The dungeon                                  
 139) [12738] The cell                                     
 140) [12739] The cell                                     
 141) [12740] The cell                                     
 142) [12741] Scar's Swords                                
 143) [12742] Landward Way                                 
 144) [12743] Landward Way                                 
 145) [12744] A dark alley                                 
 146) [12745] A dark alley                                 
 147) [12746] Bounty Street                                
 148) [12747] On board the Ebon Wind                       
 149) [12748] On board the Ebon Wind                       
 150) [12749] On board the Ebon Wind                       
 151) [12750] Underneath a small pier                      
 152) [12751] Underneath a small pier                      

>[0;00m
[0mCHECKING: 128[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [12800] The Emerald Maze                             
   2) [12801] The Emerald Maze                             
   3) [12802] The Emerald Maze                             
   4) [12803] The Emerald Maze                             
   5) [12804] The Emerald Maze                             
   6) [12805] The Emerald Maze                             
   7) [12806] The Emerald Maze                             
   8) [12807] The Emerald Maze                             
   9) [12808] The Emerald Maze                             
  10) [12809] The Emerald Maze                             
  11) [12810] The Emerald Maze                             
  12) [12811] The Emerald Maze                             
  13) [12812] The Emerald Maze                             
  14) [12813] The Emerald Maze                             
  15) [12814] The Emerald Maze                             
  16) [12815] The Emerald Maze                             
  17) [12816] The Emerald Maze                             
  18) [12817] The Emerald Maze                             
  19) [12818] The Emerald Maze                             
  20) [12819] The Emerald Maze                             
  21) [12820] The Emerald Maze                             
  22) [12821] The Emerald Maze                             
  23) [12822] The Emerald Maze                             
  24) [12823] The Emerald Maze                             
  25) [12824] The Emerald Maze                             
  26) [12825] The Emerald Maze                             
  27) [12826] The Emerald Maze                             
  28) [12827] The Emerald Maze                             
  29) [12828] The Emerald Maze                             
  30) [12829] The Emerald Maze                             
  31) [12830] The Emerald Maze                             
  32) [12831] The Emerald Maze                             
  33) [12832] The Emerald Maze                             
  34) [12833] The Emerald Maze                             
  35) [12834] The Emerald Maze                             
  36) [12835] The Emerald Maze                             
  37) [12836] The Emerald Maze                             
  38) [12837] The Emerald Maze                             
  39) [12838] The Emerald Maze                             
  40) [12839] The Emerald Maze                             
  41) [12840] The Emerald Maze                             
  42) [12841] The Emerald Maze                             
  43) [12842] The Emerald Maze                             
  44) [12843] The Emerald Maze                             
  45) [12844] The Emerald Maze                             
  46) [12845] The Emerald Maze                             
  47) [12846] The Emerald Maze                             
  48) [12847] The Emerald Maze                             
  49) [12848] The Emerald Maze                             
  50) [12849] The Emerald Maze                             
  51) [12850] The Emerald Maze                             
  52) [12851] The Emerald Maze                             
  53) [12852] The Emerald Maze                             
  54) [12853] The Emerald Maze                             
  55) [12854] The Emerald Maze                             
  56) [12855] The Emerald Maze                             
  57) [12856] The Emerald Maze                             
  58) [12857] The Emerald Maze                             
  59) [12858] The Emerald Maze                             
  60) [12859] The Emerald Maze                             
  61) [12860] The Emerald Maze                             
  62) [12861] The Emerald Maze                             
  63) [12862] The Emerald Maze                             
  64) [12863] The Emerald Maze                             
  65) [12864] The Emerald Maze                             
  66) [12865] The Emerald Maze                             
  67) [12866] The Emerald Maze                             
  68) [12867] The Emerald Maze                             
  69) [12868] The Emerald Maze                             
  70) [12869] The Emerald Maze                             
  71) [12870] The Emerald Maze                             
  72) [12871] The Emerald Maze                             
  73) [12872] The Emerald Maze                             
  74) [12873] The Emerald Maze                             
  75) [12874] The Emerald Maze                             
  76) [12875] The Emerald Maze                             
  77) [12876] The Emerald Maze                             
  78) [12877] The Emerald Maze                             
  79) [12878] The Emerald Maze                             
  80) [12879] The Emerald Maze                             
  81) [12880] The Emerald Maze                             
  82) [12881] The Emerald Maze                             
  83) [12882] The Emerald Maze                             
  84) [12883] The Emerald Maze                             
  85) [12884] The Emerald Maze                             
  86) [12885] The Emerald Maze                             
  87) [12886] The Emerald Maze                             
  88) [12887] The Emerald Maze                             
  89) [12888] The Emerald Maze                             
  90) [12889] The Emerald Maze                             
  91) [12890] The Emerald Maze                             
  92) [12891] The Emerald Maze                             
  93) [12892] The Emerald Maze                             
  94) [12893] The Emerald Maze                             
  95) [12894] The Emerald Maze                             
  96) [12895] The Emerald Maze                             
  97) [12896] The Emerald Maze                             
  98) [12897] The Emerald Maze                             
  99) [12898] The Emerald Maze                             
 100) [12899] The Emerald Maze                             
 101) [12900] The Emerald Maze                             
 102) [12901] The Emerald Maze                             
 103) [12902] The Emerald Maze                             
 104) [12903] The Emerald Maze                             
 105) [12904] The Emerald Maze                             
 106) [12905] The Emerald Maze                             
 107) [12906] The Emerald Maze                             
 108) [12907] The Emerald Maze                             
 109) [12908] The Emerald Maze                             
 110) [12909] The Emerald Maze                             
 111) [12910] The Emerald Maze                             
 112) [12911] The Emerald Maze                             
 113) [12912] The Emerald Maze                             
 114) [12913] The Emerald Maze                             
 115) [12914] The Emerald Maze                             
 116) [12915] The Emerald Maze                             
 117) [12916] The Emerald Maze                             
 118) [12917] The Emerald Maze                             
 119) [12918] The Emerald Maze                             
 120) [12919] The Emerald Maze                             
 121) [12920] The Emerald Maze                             
 122) [12921] The Emerald Maze                             
 123) [12922] The Emerald Maze                             
 124) [12923] The Emerald Maze                             
 125) [12924] The Emerald Maze                             
 126) [12925] The Emerald Maze                             
 127) [12926] The Emerald Maze                             
 128) [12927] The Emerald Maze                             
 129) [12928] The Emerald Maze                             
 130) [12929] The Emerald Maze                             
 131) [12930] The Emerald Maze                             
 132) [12931] The Emerald Maze                             
 133) [12932] The Emerald Maze                             
 134) [12933] The Emerald Maze                             
 135) [12934] The Emerald Maze                             
 136) [12935] The Emerald Maze                             
 137) [12936] The Emerald Maze                             
 138) [12937] The Emerald Maze                             
 139) [12938] The Emerald Maze                             
 140) [12939] The Emerald Maze                             
 141) [12940] The Emerald Maze                             
 142) [12941] The Emerald Maze                             
 143) [12942] The Emerald Maze                             
 144) [12943] The Emerald Maze                             
 145) [12944] The Emerald Maze                             
 146) [12945] The Emerald Maze                             
 147) [12946] The Emerald Maze                             
 148) [12947] The Emerald Maze                             
 149) [12948] The Emerald Maze                             
 150) [12949] The Emerald Maze                             
 151) [12950] The Emerald Maze                             
 152) [12951] The Emerald Maze                             
 153) [12952] The Emerald Maze                             
 154) [12953] The Emerald Maze                             
 155) [12954] The Emerald Maze                             
 156) [12955] The Emerald Maze                             
 157) [12956] The Emerald Maze                             
 158) [12957] The Emerald Maze                             
 159) [12958] The Emerald Maze                             
 160) [12959] The Emerald Maze                             
 161) [12960] The Emerald Maze                             
 162) [12961] The Emerald Maze                             
 163) [12962] The Emerald Maze                             
 164) [12963] The Emerald Maze                             
 165) [12964] The Emerald Maze                             
 166) [12965] The Emerald Maze                             
 167) [12966] The Emerald Maze                             
 168) [12967] The Emerald Maze                             
 169) [12968] The Emerald Maze                             
 170) [12969] The Emerald Maze                             
 171) [12970] The Emerald Maze                             
 172) [12971] The Emerald Maze                             
 173) [12972] The Emerald Maze                             
 174) [12973] The Emerald Maze                             
 175) [12974] The Emerald Maze                             
 176) [12975] The Emerald Maze                             
 177) [12976] The Emerald Maze                             
 178) [12977] The Emerald Maze                             
 179) [12978] The Emerald Maze                             
 180) [12979] The Emerald Maze                             
 181) [12980] The Emerald Maze                             
 182) [12981] The Emerald Maze                             
 183) [12982] The Emerald Maze                             
 184) [12983] The Emerald Maze                             
 185) [12984] The Emerald Maze                             
 186) [12985] The Emerald Maze                             
 187) [12986] The Emerald Maze                             
 188) [12987] The Emerald Maze                             
 189) [12988] The Emerald Maze                             
 190) [12989] The Emerald Maze                             
 191) [12990] The Emerald Maze                             
 192) [12991] The Emerald Maze                             
 193) [12992] The Emerald Maze                             
 194) [12993] The Emerald Maze                             
 195) [12994] The Emerald Maze                             
 196) [12995] The Emerald Maze                             
 197) [12996] The Emerald Maze                             
 198) [12997] The Emerald Maze                             
 199) [12998] The Emerald Maze                             
 200) [12999] The Emerald Maze                             

>[0;00m
[0mCHECKING: 130[0m

Index VNum    Room Name                                    Exits
----- ------- -------------------------------------------- -----
   1) [13000] Entrance to the Shadow Grove                 (6137)
   2) [13001] The Shadow Grove                             
   3) [13002] The Shadow Grove                             
   4) [13003] The Shadow Grove                             
   5) [13004] The Shadow Grove                             (21310)
   6) [13005] The Shadow Grove                             
   7) [13006] The Shadow Grove                             
   8) [13007] The Shadow Grove                             
   9) [13008] The Shadow Grove                             
  10) [13009] The Shadow Grove                             
  11) [13010] The Shadow Grove                             
  12) [13011] A small clearing.                            
  13) [13012] Entrance to the High Tower                   
  14) [13013] Inside the High Tower of Sorcery             
  15) [13014] Common Room                                  
  16) [13015] The hallway                                  
  17) [13016] Dining Room                                  
  18) [13017] Dark Hallway                                 
  19) [13018] Mages Tavern                                 
  20) [13019] The Magic Shop                               
  21) [13020] The Kitchen                                  
  22) [13021] Below the trapdoor                           
  23) [13022] A damp intersection                          
  24) [13023] A dark passage                               
  25) [13024] A dark passage                               
  26) [13025] The stagnant pool                            
  27) [13026] A dark passage                               
  28) [13027] A dark cell                                  
  29) [13028] The Jailor's office                          
  30) [13029] Below the stagnant pool                      (3001)
  31) [13030] The hallway                                  
  32) [13031] A bend in the hallway                        
  33) [13032] A store room                                 
  34) [13033] A broom closet                               
  35) [13034] A hallway                                    
  36) [13035] The guardian's chamber                       
  37) [13036] A guest bedroom                              
  38) [13037] A guest bedroom                              
  39) [13038] A hallway                                    
  40) [13039] The burnt room                               
  41) [13040] A hallway                                    
  42) [13041] A culdesac                                   
  43) [13042] The Apprentice's Barracks                    
  44) [13043] A hallway                                    
  45) [13044] The Apprentice's barracks                    
  46) [13045] A hallway                                    
  47) [13046] The apprentice's workshop                    
  48) [13047] A bend in the hallway                        
  49) [13048] The hallway                                  
  50) [13049] A classroom                                  
  51) [13050] A hallway                                    
  52) [13051] A hallway                                    
  53) [13052] An empty classroom                           
  54) [13053] A bend in the hallway                        
  55) [13054] An empty classroom                           
  56) [13055] A hallway                                    
  57) [13056] A hallway                                    
  58) [13057] The amphitheater                             
  59) [13058] A hallway                                    
  60) [13059] The training room                            
  61) [13060] A bend in the hallway                        
  62) [13061] A dueling room                               
  63) [13062] A hallway                                    
  64) [13063] A hallway                                    
  65) [13064] The spellmasters' lounge                     
  66) [13065] A bedroom                                    
  67) [13066] A hallway                                    
  68) [13067] The study                                    
  69) [13068] Below the stairs                             
  70) [13069] Atop the stairway                            
  71) [13070] A hallway                                    
  72) [13071] A small office                               
  73) [13072] A hallway                                    
  74) [13073] The master scribe's workshop                 
  75) [13074] A hallway                                    
  76) [13075] A small storeroom                            
  77) [13076] A bend in the hallway                        
  78) [13077] A hallway                                    
  79) [13078] A hallway                                    
  80) [13079] A large storeroom                            
  81) [13080] A hallway                                    
  82) [13081] A very hot room                              
  83) [13082] The Master Enchanter's chamber               
  84) [13083] A bend in the hallway                        
  85) [13084] A hallway                                    
  86) [13085] A hallway                                    
  87) [13086] A laboratory                                 
  88) [13087] A hallway                                    
  89) [13088] The Mad Alchemist's workroom                 
  90) [13089] A bend in the hallway                        
  91) [13090] The pentagram chamber                        
  92) [13091] A hallway                                    
  93) [13092] Inside the energy field                      (4115)(5120)(12066)(6137)(6137)
  94) [13093] A hallway                                    
  95) [13094] An empty room                                
  96) [13095] The charm master's chamber                   
  97) [13096] A hallway                                    
  98) [13097] The animal pens                              
  99) [13098] The end of the hallway                       
 100) [13099] Atop the stairway                            
 101) [13100] A hallway                                    
 102) [13101] A large storeroom                            
 103) [13102] The Master Spellbinder's chamber             
 104) [13103] The Spellbinder's Cache                      
 105) [13104] A hallway                                    
 106) [13105] A hallway                                    
 107) [13106] A bend in the hallway                        
 108) [13107] A hallway                                    
 109) [13108] A hallway                                    
 110) [13109] The golem master's workshop                  
 111) [13110] A small storeroom                            
 112) [13111] The golem chamber                            
 113) [13112] It is very dark here...                      
 114) [13113] A hallway                                    
 115) [13114] A bend in the hallway                        
 116) [13115] A hallway                                    
 117) [13116] A hallway                                    
 118) [13117] The master of illusion's chamber             
 119) [13118] A bedroom                                    
 120) [13119] A hallway                                    
 121) [13120] The meditation chamber                       
 122) [13121] A bend in the hallway                        
 123) [13122] A hallway                                    
 124) [13123] A dark room                                  
 125) [13124] A dark room                                  
 126) [13125] The Necromancer's Lair                       
 127) [13126] A hallway                                    
 128) [13127] A hallway                                    
 129) [13128] The end of the hallway                       
 130) [13129] A corridor                                   
 131) [13130] A corridor                                   
 132) [13131] A bend in the corridor                       
 133) [13132] A corridor                                   
 134) [13133] An intersection                              
 135) [13134] A corridor                                   
 136) [13135] The scrying chamber                          
 137) [13136] A corridor                                   
 138) [13137] The entrance to the library                  
 139) [13138] In the library                               
 140) [13139] In the library                               
 141) [13140] In the library                               
 142) [13141] In the library                               
 143) [13142] In the library                               
 144) [13143] In the library                               
 145) [13144] Between the shelves                          
 146) [13145] The reading room                             
 147) [13146] A corridor                                   
 148) [13147] The end of the corridor                      
 149) [13148] The arched entrance                          
 150) [13149] The landing                                  
 151) [13150] An intersection                              
 152) [13151] A grey tiled hallway                         
 153) [13152] A grey tiled hallway                         
 154) [13153] The antechamber                              
